Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),Amazon CloudWatch,0,21.09,253.08,USD,
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),Amazon Route 53,0,175.9,2110.80,USD,"Hosted Zones (1), Basic Checks Within AWS (300)"
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,257.85,3094.20,USD,Number of NAT Gateways (1)
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,552.9800000000000,6635.76,USD,"Number of Network Load Balancers (1), Average number of new TCP connections (5000 per second), Average number of new UDP Flows (5000 per second), Average UDP Flow duration (60 seconds), Average TCP connection duration (60 seconds), Processed bytes per NLB for TCP (10 GB per hour), Processed bytes per NLB for UDP (10 GB per hour), Average number of new TLS connections (5000 per second), Average TLS connection duration (60 seconds), Processed bytes per NLB for TLS (10 GB per hour)"
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,1184.43,14213.16,USD,Number of Application Load Balancers (1)
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),S3 Standard,0,257.05,3084.60,USD,S3 Standard storage (10000 GB per month)
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),S3 Glacier,0,164.5,1974.00,USD,S3 Glacier storage (40000 GB per month)
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,"Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month"
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (1), Number of EIPs per instance (1)"
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,1407.9,16894.80,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (3000 GB), Instance type (m4.large)"
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,1699.886,20398.63,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (3000 GB)"
My Estimate > Udacity AWS Cloud Architect Project 2 - Reduced_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,775.2,9302.40,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1500 GB), Instance type (t3.large)"
,,,,,,,
,,,,,,,
,,,,,,,
Monthly Total:,,,,6496.786,,,
Changes made: Used S3 Glacier to store some of the app data that would rarely be revisited by users; Reduced storage amount by half for web servers; Used Reserved Instances instead of on-demand instances.,,,,,,,
